sent0,sent1,hard_neg,source
Source: Color explosion; Edit instruction: make it a plant,Color plant,Color explosion,webvid_covr_multimodal
Source: Georgia on blue political globe. orbiting around globe and zooming to the country. 3d illustration; Edit instruction: Make Belarus the country,Belarus on blue political globe. orbiting around globe and zooming to the country. 3d illustration,Georgia on blue political globe. orbiting around globe and zooming to the country. 3d illustration,webvid_covr_multimodal
"The results were reported to the equal justice community and posted on the Florida Legal Services website, www.floridalegal.org.",The results were reported and posted on the Florida legal services website.,They forgot to post the results to the Florida legal services website.,nli_base
The girl in the pink California Santa Cruz sweatshirt was cutting cheese for the picnic.,A girl cuts the cheese.,A girl farts alone at home.,nli_base
Source: Text download from letters of different colors appears behind small squares. then disappears. alpha channel premultiplied - matted with color white; Edit instruction: make the letter more gentleman-like,Text gentleman from letters of different colors appears behind small squares. then disappears. alpha channel premultiplied - matted with color white,Text download from letters of different colors appears behind small squares. then disappears. alpha channel premultiplied - matted with color white,webvid_covr_multimodal
A large group of people underneath a large red tent.,people under a tent,the people are flying a plane,nli_base
that's pretty good really,That's very good.,"Wow, that's terrible.",nli_base
Source: Kids drawing black screen with theme of piston; Edit instruction: have a lamp instead of a piston,Kids drawing black screen with theme of lamp,Kids drawing black screen with theme of piston,webvid_covr_multimodal
Source: A waterfall; Edit instruction: make it little,Little waterfall,A waterfall,webvid_covr_multimodal
Source: Lovers at sunset; Edit instruction: make the people into bull,Bulls at sunset,Lovers at sunset,webvid_covr_multimodal
"Highway 1 ends at Highway 90, which runs along the shoreline of the Dead Sea southward to the Negev desert and the city of Eilat, and northward to Jericho and the Jordan Valley and up to the beautiful Sea of Galilee.",Highway 90 traverses the shoreline of the Dead Sea.,Highway 90 does not go to the Dead Sea.,nli_negation
Source: Aerial view of a island; Edit instruction: make a lighthouse,Aerial view of a lighthouse,Aerial view of a island,webvid_covr_multimodal
Source: Vial symbol inflames. then disappears. in - out loop. alpha channel premultiplied - matted with color black; Edit instruction: matted with color black,Pills symbol inflames. then disappears. in - out loop. alpha channel premultiplied - matted with color black,Vial symbol inflames. then disappears. in - out loop. alpha channel premultiplied - matted with color black,webvid_covr_multimodal
A woman inserts a key into the door lock,A woman inserts a key in a key cylinder,A woman removes a key from the door lock,ego4d_temporal
Source: Diamond round cut; Edit instruction: make the cut a marqu,Diamond marquise cut,Diamond round cut,webvid_covr_multimodal
Source: Egret in heavy rain; Edit instruction: Put a gutter in the heavy rain instead of an egret,Gutter in heavy rain,Egret in heavy rain,webvid_covr_multimodal
Source: Time lapse mountain; Edit instruction: make it an evening scene,Time lapse evening,Time lapse mountain,webvid_covr_multimodal
Source: Grilled prawns; Edit instruction: The prawns are grilled,Grilled seafood,Grilled prawns,webvid_covr_multimodal
Source: Snowy stream; Edit instruction: make the road,Snowy road,Snowy stream,webvid_covr_multimodal
"Source: Swansea , wales / united kingdom (uk) - 10 30 2019: swansea bay; Edit instruction: make it a beach","Swansea , wales / united kingdom (uk) - 10 30 2019: swansea beach","Swansea , wales / united kingdom (uk) - 10 30 2019: swansea bay",webvid_covr_multimodal
Two Scuba Divers pose candidly in an underwater Reef.,two scuba divers poses candidly underwater,a couple goes on a date in a restaurant,nli_base
Source: Closing in on malaysia on simple globe. 3d illustration; Edit instruction: Change to Jordan,Closing in on jordan on simple globe. 3d illustration,Closing in on malaysia on simple globe. 3d illustration,webvid_covr_multimodal
Source: Sea and sun; Edit instruction: make it ocean,Sea and ocean,Sea and sun,webvid_covr_multimodal
Source: White evolution; Edit instruction: make it a bantam,White bantam,White evolution,webvid_covr_multimodal
Source: Rain at night; Edit instruction: make it snow,Snowing at night,Rain at night,webvid_covr_multimodal
Source: The video shows wildlife word built of wooden blocks; Edit instruction: Change the word to be a landscape,The video shows landscape word built of wooden blocks,The video shows wildlife word built of wooden blocks,webvid_covr_multimodal
Source: Red curtain; Edit instruction: make it red ink,Red ink,Red curtain,webvid_covr_multimodal
Source: Red fish; Edit instruction: convert it into a stinging fish,Stinging fish,Red fish,webvid_covr_multimodal
"Source: Luminous and shimmering haze inside the letters of the word anymore. transparent, alpha channel; Edit instruction: change to express","Luminous and shimmering haze inside the letters of the word express. transparent, alpha channel","Luminous and shimmering haze inside the letters of the word anymore. transparent, alpha channel",webvid_covr_multimodal
Source: Wedding flower; Edit instruction: Make it a setup,Wedding setup,Wedding flower,webvid_covr_multimodal
Rugby players playing a match in a field sponsored by McDonald's,Rugby players are playing on a field.,The guys are playing football.,nli_base
Source: Multicolored fountain in the park; Edit instruction: replace the fountain with an old one,Old fountain in the park,Multicolored fountain in the park,webvid_covr_multimodal
Source: Circles gather in symbol memory. after it crumbles in a line and moves to the camera. alpha channel black; Edit instruction: make a symbol oven,Circles gather in symbol oven. after it crumbles in a line and moves to the camera. alpha channel black,Circles gather in symbol memory. after it crumbles in a line and moves to the camera. alpha channel black,webvid_covr_multimodal
"Source: Symbol database inflames with dark fire, then burns. in - out loop. alpha channel premultiplied - matted with color white; Edit instruction: add a trophy","Symbol trophy inflames with dark fire, then burns. in - out loop. alpha channel premultiplied - matted with color white","Symbol database inflames with dark fire, then burns. in - out loop. alpha channel premultiplied - matted with color white",webvid_covr_multimodal
A man in a yellow waterproof jacket and his companion are on a boat in the open water.,Two men are outdoors.,Two men are fist fighting.,nli_base
Source: Sunset. moscow; Edit instruction: Make it a sunset from a skyline,Sunset skyline,Sunset. moscow,webvid_covr_multimodal
Source: Liquid symbol thermometer appears with water droplets. then dissolves with drops of water. alpha channel black; Edit instruction: make it look like the symbol is spinning like a dizzy,Liquid symbol dizzy appears with water droplets. then dissolves with drops of water. alpha channel black,Liquid symbol thermometer appears with water droplets. then dissolves with drops of water. alpha channel black,webvid_covr_multimodal
"' But I always say to this person, be wary and be cautious.",I always warn this person to be cautious.,I always warn this person to let go of their ambitions and be wild.,nli_base
Source: Camera flashes; Edit instruction: change camera flashes to a camera lens,Camera lens,Camera flashes,webvid_covr_multimodal
